"station_number";"station_name";"idrefregency";"type";"region";"latitude";"longitude";"elevation";"soil";"exposure";"land_use";"timezone";"wmo_id";"station_id"
"97504";"Stasiun Geofisika Sorong";"497";"mkg";"Region V";"-0.86";"131.26";"64";"null";"2";"21";"+09:00";"97504";"177"
"96013";"Stasiun Geofisika Mata'ie";"6";"mkg";"Region I";"5.496";"95.296";"32";"52";"21";"28";"+07:00";"96013";"174"
"96585";"Stasiun Meteorologi Maritim Pontianak";"322";"mkg";"Region II";"-0.03";"109.34";"4";"52";"48";"28";"+07:00";"96585";"173"
"96807";"Stasiun Geofisika Banjarnegara";"187";"mkg";"Region II";"-7.333";"109.7069";"608";"null";"null";"null";"+07:00";"96807";"179"
"97692";"Stasiun Klimatologi Jayapura";"460";"mkg";"Region V";"-2.59231";"140.16792";"70";"null";"null";"null";"+09:00";"97692";"175"
"97760";"Stasiun Meteorologi Utarom";"494";"mkg";"Region V";"-3.67";"133.75";"5";"null";"null";"null";"+09:00";"97760";"176"
"96793";"Pos Meteorologi Penggung";"166";"mkg";"Region II";"-6.7553";"108.53904";"23";"42";"22";"23";"+07:00";"96793";"7744"
"96001";"Stasiun Meteorologi Cut Bau Maimun Saleh";"20";"mkg";"Region I";"5.87655";"95.33785";"126";"53";"21";"26";"+07:00";"96001";"1"
"96009";"Stasiun Meteorologi Malikussaleh";"8";"mkg";"Region I";"5.22869";"96.94749";"28";"47";"22";"28";"+07:00";"96009";"2"
"96011";"Stasiun Meteorologi Sultan Iskandar Muda";"6";"mkg";"Region I";"5.52244";"95.417";"20";"null";"null";"null";"+07:00";"96011";"3"
"96525";"Stasiun Meteorologi Tanjung Harapan";"503";"mkg";"Region III";"2.5";"117.22";"3";"null";"null";"null";"+08:00";"96525";"178"
"96015";"Stasiun Meteorologi Tjut Nyak Dien Meulaboh";"15";"mkg";"Region I";"4.04928";"96.24796";"3";"47";"21";"21";"+07:00";"96015";"5"
"96017";"Stasiun Klimatologi Aceh Besar";"6";"mkg";"Region I";"5.404";"95.464";"40";"50";"22";"28";"+07:00";"96017";"6"
"96031";"Stasiun Klimatologi Deli Serdang";"30";"mkg";"Region I";"3.62114";"98.71485";"25";"52";"21";"23";"+07:00";"96031";"7"
"96033";"Stasiun Meteorologi Maritim Belawan";"49";"mkg";"Region I";"3.78824";"98.71492";"3";"null";"null";"null";"+07:00";"96033";"8"
"96035";"Stasiun Meteorologi Kualanamu";"30";"mkg";"Region I";"3.64573";"98.88488";"23";"null";"22";"27";"+07:00";"96035";"9"
"96037";"Stasiun Geofisika Tuntungan";"30";"mkg";"Region I";"3.501";"98.56";"86";"null";"null";"23";"+07:00";"96037";"10"
"96039";"Stasiun Geofisika Tapaktuan Aceh Selatan";"1";"mkg";"Region I";"3.17333";"97.28637";"2";"null";"null";"null";"+07:00";"96039";"11"
"96071";"Stasiun Meteorologi Aek Godang";"43";"mkg";"Region I";"1.55";"99.45";"281";"44";"22";"23";"+07:00";"96071";"12"
"96073";"Stasiun Meteorologi F.L Tobing";"24";"mkg";"Region I";"1.55";"98.88";"10";"null";"null";"null";"+07:00";"96073";"13"
"96075";"Stasiun Meteorologi Binaka";"27";"mkg";"Region I";"1.1649";"97.7036";"7";"null";"null";"null";"+07:00";"96075";"14"
"96077";"Stasiun Geofisika Gunung Sitoli";"27";"mkg";"Region I";"1.3";"97.58";"175";"null";"null";"null";"+07:00";"96077";"15"
"96087";"Stasiun Meteorologi Hang Nadim";"150";"mkg";"Region I";"1.11667";"104.11667";"26";"null";"null";"null";"+07:00";"96087";"16"
"96089";"Stasiun Meteorologi Raja Haji Abdullah Tanjung Balai Karimun";"146";"mkg";"Region I";"1.03";"103.38";"1";"44";"42";"26";"+07:00";"96089";"17"
"96091";"Stasiun Meteorologi Kijang";"151";"mkg";"Region I";"0.9227";"104.5289";"15";"52";"21";"26";"+07:00";"96091";"18"
"96109";"Stasiun Meteorologi Sultan Syarif Kasim II";"86";"mkg";"Region I";"0.45924";"101.44743";"39";"43";"22";"26";"+07:00";"96109";"19"
"96145";"Stasiun Meteorologi Tarempa";"149";"mkg";"Region I";"3.2";"106.25";"2";"52";"42";"25";"+07:00";"96145";"20"
"96147";"Stasiun Meteorologi Ranai";"147";"mkg";"Region I";"3.91206";"108.39";"2";"null";"null";"26";"+07:00";"96147";"21"
"96161";"Stasiun Metorologi Maritim Teluk Bayur";"69";"mkg";"Region I";"-0.99639";"100.37222";"2";"47";"21";"28";"+07:00";"96161";"22"
"96163";"Stasiun Meteorologi Minangkabau";"61";"mkg";"Region I";"-0.79355";"100.28917";"6";"null";"null";"null";"+07:00";"96163";"23"
"96165";"Stasiun Geofisika Silaing Bawah";"72";"mkg";"Region I";"-0.4663";"100.3797";"735";"47";"21";"21";"+07:00";"96165";"24"
"96167";"Stasiun Klimatologi Padang Pariaman";"61";"mkg";"Region I";"-0.54549";"100.29786";"128";"null";"null";"null";"+07:00";"96167";"25"
"96171";"Stasiun Meteorologi Japura";"77";"mkg";"Region I";"-0.33";"102.32";"19";"43";"22";"26";"+07:00";"96171";"26"
"96179";"Stasiun Meteorologi Dabo Singkep";"148";"mkg";"Region I";"-0.48";"104.58";"29";"44";"42";"28";"+07:00";"96179";"27"
"96191";"Stasiun Klimatologi Muaro Jambi";"92";"mkg";"Region II";"-1.6019";"103.48444";"24";"null";"null";"null";"+07:00";"96191";"28"
"96195";"Stasiun Meteorologi Sultan Thaha";"97";"mkg";"Region II";"-1.63368";"103.64";"26";"null";"22";"28";"+07:00";"96195";"29"
"96169";"Stasiun Pemantau Atmosfer Global Bukit Koto Tabang";"62";"mkg";"Region I";"-0.2505";"100.3823";"895";"51";"41";"25";"+07:00";"96169";"30"
"96207";"Stasiun Meteorologi Depati Parbo";"88";"mkg";"Region II";"-2.083";"101.45";"782";"47";"22";"22";"+07:00";"96207";"31"
"96221";"Stasiun Meteorologi Sultan Mahmud Badaruddin II";"110";"mkg";"Region II";"-2.89468";"104.70129";"10";"41";"21";"26";"+07:00";"96221";"32"
"96223";"Stasiun Klimatologi Palembang";"110";"mkg";"Region II";"-2.92732";"104.77197";"11";"52";"22";"21";"+07:00";"96223";"33"
"96237";"Stasiun Meteorologi Depati Amir";"144";"mkg";"Region II";"-2.17";"106.13";"0";"null";"null";"21";"+07:00";"96237";"34"
"96247";"Stasiun Geofisika Tanjung Pandan";"139";"mkg";"Region II";"-2.7575";"107.65";"22";"null";"null";"null";"+07:00";"96247";"35"
"96249";"Stasiun Meteorologi H. Asan Hananjoedin";"139";"mkg";"Region II";"-2.75";"107.75";"50";"null";"null";"null";"+07:00";"96249";"36"
"96253";"Stasiun Meteorologi Fatmawati Soekarno";"123";"mkg";"Region II";"-3.8582";"102.3367";"24";"null";"null";"null";"+07:00";"96253";"37"
"96255";"Stasiun Klimatologi Bengkulu";"123";"mkg";"Region II";"-3.8652";"102.3119";"12";"null";"null";"null";"+07:00";"96255";"38"
"96257";"Stasiun Geofisika Kepahiyang";"121";"mkg";"Region II";"-3.55";"102.589";"517";"null";"null";"null";"+07:00";"96257";"39"
"96291";"Stasiun Klimatologi Pesawaran";"132";"mkg";"Region II";"-5.17236";"105.18";"71";"null";"2";"23";"+07:00";"96291";"40"
"96293";"Stasiun Meteorologi Maritim Lampung";"136";"mkg";"Region II";"-5.4721";"105.321";"7";"51";"45";"21";"+07:00";"96293";"41"
"96295";"Stasiun Meteorologi Radin Inten II";"124";"mkg";"Region II";"-5.16";"105.11";"85";"null";"null";"null";"+07:00";"96295";"42"
"96297";"Stasiun Geofisika Kota Bumi";"126";"mkg";"Region II";"-4.83631";"104.87";"60";"52";"22";"21";"+07:00";"96297";"43"
"96505";"Stasiun Meteorologi Yuvai Semaring";"505";"mkg";"Region III";"3.86";"115.68";"1090";"44";"22";"26";"+08:00";"96505";"44"
"96503";"Stasiun Meteorologi Nunukan";"505";"mkg";"Region III";"4.13";"117.67";"8";"null";"null";"null";"+08:00";"96503";"45"
"96509";"Stasiun Meteorologi Juwata";"507";"mkg";"Region III";"3.33";"117.57";"6";"null";"null";"null";"+08:00";"96509";"46"
"96529";"Stasiun Meteorologi Kalimarau ";"353";"mkg";"Region III";"2.14562";"117.43375";"13";"43";"47";"23";"+08:00";"96529";"47"
"96535";"Stasiun Meteorologi Paloh";"310";"mkg";"Region II";"1.74";"109.3";"15";"null";"null";"23";"+07:00";"96535";"48"
"96557";"Stasiun Meteorologi Nangapinoh";"319";"mkg";"Region II";"-0.42";"111.47";"40";"43";"21";"27";"+07:00";"96557";"49"
"96559";"Stasiun Meteorologi Susilo";"314";"mkg";"Region II";"0.06";"111.47";"31";"43";"2";"23";"+07:00";"96559";"50"
"96565";"Stasiun Meteorologi Pangsuma";"315";"mkg";"Region II";"0.84";"112.93";"43";"null";"22";"21";"+07:00";"96565";"51"
"96581";"Stasiun Meteorologi Supadio";"322";"mkg";"Region II";"-0.14206";"109.45";"3";"null";"22";"22";"+07:00";"96581";"52"
"96583";"Stasiun Klimatologi Mempawah";"311";"mkg";"Region II";"0.075";"109.19";"2";"52";"22";"22";"+07:00";"96583";"53"
"96595";"Stasiun Meteorologi Beringin";"328";"mkg";"Region III";"-0.56";"114.53";"42";"43";"47";"26";"+07:00";"96595";"54"
"96607";"Stasiun Meteorologi Temindung";"362";"mkg";"Region III";"-0.48";"117.16";"10";"null";"null";"null";"+08:00";"96607";"55"
"96615";"Stasiun Meteorologi Rahadi Oesman";"313";"mkg";"Region II";"-1.8";"109.97";"9";"null";"null";"22";"+07:00";"96615";"56"
"96633";"Stasiun Meteorologi Sultan Aji Muhammad Sulaiman Sepinggan";"361";"mkg";"Region III";"-1.26";"116.9";"3";"null";"null";"null";"+08:00";"96633";"57"
