KABUPATEN;PROVINSI;ratio;CANDIDATE_CLASS;kabkot;WIL_KERJA
BEKASI;JAWA BARAT;0.0795207393246078;PRIMARY;KABUPATEN;BPDAS CITARUM - CILIWUNG
INDRAMAYU;JAWA BARAT;0.14502927824199;PRIMARY;KABUPATEN;BPDAS CIMANUK - CITANDUY
KARAWANG;JAWA BARAT;0.076277214917008;PRIMARY;KABUPATEN;BPDAS CITARUM - CILIWUNG
INDRAMAYU;JAWA BARAT;0.14502927824199;PRIMARY;KABUPATEN;BPDAS CITARUM - CILIWUNG
CIREBON;JAWA BARAT;0.25912211868563;PRIMARY;KOTA;BPDAS CIMANUK - CITANDUY
BANDUNG;JAWA BARAT;0.217293233082707;PRIMARY;KOTA;BPDAS CITARUM - CILIWUNG
TANGERANG;BANTEN;0.110060961066962;PRIMARY;KABUPATEN;BPDAS CITARUM - CILIWUNG
DEMAK;JAWA TENGAH;0.0791842489156933;PRIMARY;KABUPATEN;BPDAS PEMALI JRATUN
TEGAL;JAWA TENGAH;0.291578947368421;PRIMARY;KOTA;BPDAS PEMALI JRATUN
NGANJUK;JAWA TIMUR;0.0414325598287042;PRIMARY;KABUPATEN;BPDAS SOLO
NGANJUK;JAWA TIMUR;0.0414325598287042;PRIMARY;KABUPATEN;BPDAS BRANTAS
MOJOKERTO;JAWA TIMUR;0.10357833655706;PRIMARY;KOTA;BPDAS BRANTAS
SURABAYA;JAWA TIMUR;0.348907612712491;PRIMARY;KOTA;BPDAS BRANTAS
SURABAYA;JAWA TIMUR;0.348907612712491;PRIMARY;KOTA;BPDAS SOLO
CILEGON;BANTEN;0.0490306704279455;SECONDARY;KABUPATEN;BPDAS CITARUM - CILIWUNG
SERANG;BANTEN;0.129801521053608;PRIMARY;KOTA;BPDAS CITARUM - CILIWUNG
SERUYAN;KALIMANTAN TENGAH;0.0830100073311598;SECONDARY;KABUPATEN;BPDAS KAPUAS
KATINGAN;KALIMANTAN TENGAH;0.0408408147539115;SECONDARY;KABUPATEN;BPDAS KAPUAS
KATINGAN;KALIMANTAN TENGAH;0.0408408147539115;SECONDARY;KABUPATEN;BPDAS KAHAYAN
SERUYAN;KALIMANTAN TENGAH;0.0830100073311598;SECONDARY;KABUPATEN;BPDAS KAHAYAN
