POST_NUMBER;RIVER;POST_STATION_NAME;LON;LAT;SIZE;YEAR_BUILT;BUILT_BY;PROVINCE;DISTRICT;SUBDISTRICT;VILLAGE;SUBVILLAGE;YEAR_RANGE;DATA_COUNT
02-016-03-02;CITARUM;CIBURALENG-SINDANG_PAKUON;107.3;-6.183333333333334;175.3;2011;BBWSC;JAWA BARAT;SUMEDANG;CIMANGGUNG;PAKUON;PAKUON;2013;3
02-016-02-03;CITARUM;CIBODAS-JATISARI;107.66583333333334;-6.920555555555556;18.8;1984;PUSLITBANG PENGAIRAN;JAWA BARAT;BANDUNG;BUAH BATU;SEKEJATI;JATISARI;1984 - 1990;6
02-016-04-10;CITARUM;CIDURIAN-SUKAPADA;107.64194444444445;-6.901666666666667;17.9;1976;DPMA;JAWA BARAT;BANDUNG;PADASUKA;PADASUKA;SUKAPADA;1986 - 2013;22
02-016-06-05;CITARUM;CIBEUREUM-CIHIDEUNG;108.76666666666667;-6.023333333333333;26.7;1998;PROYEK KALIBRASI PSDA;JAWA BARAT;BANDUNG;CIHIDEUNG;CIHIDEUNG;CIHIDEUNG;1995 - 2013;16
02-016-04-01;CITARUM;CIBURADUL-KERTAJAYA;;;33;2011;BBWSC;JAWA BARAT;BANDUNG;PADALARANG;KERTAJAYA;KERTAJAYA;2013;3
02-016-20-04;CITARUM;CIBALAGUNG-LEUWIGARUT;107.23333333333333;-6.7625;45.1;1986;PLTA CIRATA;JAWA BARAT;CIANJUR;MANDE;BOBOJONG;CIROYOM;1991 - 2011;16
02-103-02-02;CIBUNI;CIBUNI-PLATAR;107.26666666666667;-7.316666666666666;283;1982;DPMA;JAWA BARAT;CIANJUR;TANGGEUNG;CIKORONJO;PLATAR;1991 - 2013;20
02-020-02-01;CIASEM;CIASEM-CURUG_AGUNG;107.67777777777778;-6.621111111111111;169;1974;DPMA;JAWA BARAT;SUBANG;KALIJATI;CABELAER;MELONG;1974 - 2013;26
02-112-02-38;CITANDUY;BAROKEH-SAWANGAN;108.9925;-7.601111111111111;30.8;2005;BADAN PELAKSANA PROYEK CITANDUY;JAWA BARAT;BANJAR;CILACAP;SAWANGAN;SAWANGAN;2008 - 2013;8
02-103-01-01;CIBUNI;CIBUNI-CIBUNGUR;106.97194444444445;-7.285;1080.75;1982;DPMA;JAWA BARAT;SUKABUMI;SAGARANTEN;CISADAP;CIBUNGUR;1985 - 2015;27
